Country,Country_Code,Region,Year,Month,Flight_Capacity,Passengers,Load_Factor,Average_Ticket_Price,Revenue,Tourism_Maturity
France,FRA,Europe,2018,1,971380,770737,0.793,1689.42,1302099850.43,mature
France,FRA,Europe,2018,2,837826,734293,0.876,1356.59,996131160.57,mature
France,FRA,Europe,2018,3,1191086,743859,0.625,1583.98,1178261272.12,mature
France,FRA,Europe,2018,4,1046508,806527,0.771,1376.07,1109839999.8,mature
France,FRA,Europe,2018,5,1229285,986542,0.803,1388.28,1369598752.83,mature
France,FRA,Europe,2018,6,2215470,1584465,0.715,2563.82,4062282305.1,mature
France,FRA,Europe,2018,7,1804417,1513868,0.839,2289.23,3465588795.34,mature
France,FRA,Europe,2018,8,2080036,1397651,0.672,2425.72,3390311208.29,mature
France,FRA,Europe,2018,9,1821233,1137507,0.625,1759.47,2001408884.89,mature
France,FRA,Europe,2018,10,1595987,993093,0.622,1648.01,1636623713.15,mature
France,FRA,Europe,2018,11,1088568,657887,0.604,1516.54,997713656.64,mature
France,FRA,Europe,2018,12,934912,742701,0.794,2643.12,1963046627.88,mature
France,FRA,Europe,2019,1,953159,581366,0.61,1383.17,804126528.79,mature
France,FRA,Europe,2019,2,944309,749874,0.794,1408.08,1055885910.58,mature
France,FRA,Europe,2019,3,1203910,1063775,0.884,1723.5,1833419557.85,mature
France,FRA,Europe,2019,4,1279348,883221,0.69,1831.79,1617875619.73,mature
France,FRA,Europe,2019,5,1905299,1355464,0.711,1759.32,2384699618.17,mature
France,FRA,Europe,2019,6,2209110,1477661,0.669,2137.76,3158890117.91,mature
France,FRA,Europe,2019,7,2011661,1808759,0.899,2404.96,4349989853.25,mature
France,FRA,Europe,2019,8,1906383,1710081,0.897,2555.38,4369904429.82,mature
France,FRA,Europe,2019,9,1352765,1116638,0.825,1707.8,1906998993.89,mature
France,FRA,Europe,2019,10,1596603,1362061,0.853,1429.41,1946939151.85,mature
France,FRA,Europe,2019,11,959575,859263,0.895,1796.79,1543914686.4,mature
France,FRA,Europe,2019,12,639646,388941,0.608,2593.76,1008820926.08,mature
France,FRA,Europe,2020,1,255325,182637,0.715,1518.89,277405118.17,mature
France,FRA,Europe,2020,2,219363,160659,0.732,1629.48,261790815.8,mature
France,FRA,Europe,2020,3,266383,250410,0.94,1815.97,454737378.59,mature
France,FRA,Europe,2020,4,402590,365449,0.908,1676.8,612786511.75,mature
France,FRA,Europe,2020,5,450322,277992,0.617,1394.06,387536920.57,mature
France,FRA,Europe,2020,6,578732,449303,0.776,2683.47,1205689352.88,mature
France,FRA,Europe,2020,7,598861,469283,0.784,2483.15,1165298049.51,mature
France,FRA,Europe,2020,8,556015,515142,0.926,2371.51,1221665050.99,mature
France,FRA,Europe,2020,9,413700,383619,0.927,1659.23,636511045.38,mature
France,FRA,Europe,2020,10,392212,314967,0.803,1721.14,542103662.51,mature
France,FRA,Europe,2020,11,230305,207894,0.903,1827.59,379945293.25,mature
France,FRA,Europe,2020,12,239887,201215,0.839,2593.81,521913096.67,mature
France,FRA,Europe,2021,1,531512,503602,0.947,1686.97,849562820.7,mature
France,FRA,Europe,2021,2,451033,377545,0.837,1606.93,606687154.69,mature
France,FRA,Europe,2021,3,638267,560751,0.879,1628.45,913152326.19,mature
France,FRA,Europe,2021,4,752798,492494,0.654,1615.33,795541321.47,mature
France,FRA,Europe,2021,5,1089554,1030616,0.946,1789.74,1844530791.63,mature
France,FRA,Europe,2021,6,1360729,934291,0.687,2579.13,2409653884.86,mature
France,FRA,Europe,2021,7,1152782,771600,0.669,2090.0,1612642805.41,mature
France,FRA,Europe,2021,8,1461965,932571,0.638,2108.81,1966615903.24,mature
France,FRA,Europe,2021,9,878930,703523,0.8,1787.61,1257625322.27,mature
France,FRA,Europe,2021,10,756170,598281,0.791,1427.91,854291816.13,mature
France,FRA,Europe,2021,11,589571,381378,0.647,1550.6,591364382.73,mature
France,FRA,Europe,2021,12,578644,404707,0.699,2584.51,1045968970.85,mature
France,FRA,Europe,2022,1,955149,613257,0.642,1353.0,829737621.4,mature
France,FRA,Europe,2022,2,784199,522845,0.667,1521.99,795762708.84,mature
France,FRA,Europe,2022,3,908514,836568,0.921,1676.05,1402133528.12,mature
France,FRA,Europe,2022,4,861151,521154,0.605,1444.58,752849855.0,mature
France,FRA,Europe,2022,5,1137088,875083,0.77,1766.27,1545633781.33,mature
France,FRA,Europe,2022,6,1372675,1004507,0.732,2237.32,2247398668.07,mature
France,FRA,Europe,2022,7,1563519,1460827,0.934,2109.41,3081476119.97,mature
France,FRA,Europe,2022,8,2045574,1319919,0.645,2345.65,3096061403.99,mature
France,FRA,Europe,2022,9,1326052,842368,0.635,1566.21,1319326911.7,mature
France,FRA,Europe,2022,10,865918,753187,0.87,1667.18,1255696778.47,mature
France,FRA,Europe,2022,11,1146248,877243,0.765,1801.45,1580306811.76,mature
France,FRA,Europe,2022,12,773444,603232,0.78,2483.23,1497966427.86,mature
Spain,SPA,Europe,2018,1,726131,483797,0.666,1074.15,519668332.97,mature
Spain,SPA,Europe,2018,2,435231,327038,0.751,1179.38,385702453.68,mature
Spain,SPA,Europe,2018,3,616005,505558,0.821,1281.43,647839195.16,mature
Spain,SPA,Europe,2018,4,786741,533183,0.678,1281.48,683264514.77,mature
Spain,SPA,Europe,2018,5,1034575,658908,0.637,1106.92,729358642.84,mature
Spain,SPA,Europe,2018,6,1455972,1166283,0.801,1736.9,2025719995.2,mature
Spain,SPA,Europe,2018,7,1991002,1750730,0.879,1593.8,2790322121.32,mature
Spain,SPA,Europe,2018,8,1537292,1455627,0.947,1627.18,2368567508.29,mature
Spain,SPA,Europe,2018,9,1231235,844797,0.686,1061.48,896737498.87,mature
Spain,SPA,Europe,2018,10,1166370,710410,0.609,1038.27,737600121.62,mature
Spain,SPA,Europe,2018,11,796016,589566,0.741,1186.5,699520709.44,mature
Spain,SPA,Europe,2018,12,523136,326798,0.625,1617.28,528523879.55,mature
Spain,SPA,Europe,2019,1,733664,584510,0.797,1176.54,687698032.6,mature
Spain,SPA,Europe,2019,2,540375,370704,0.686,1235.24,457907632.32,mature
Spain,SPA,Europe,2019,3,675133,451950,0.669,1226.18,554170280.82,mature
Spain,SPA,Europe,2019,4,669820,517580,0.773,1077.79,557843162.42,mature
Spain,SPA,Europe,2019,5,1191779,859665,0.721,1317.91,1132965292.19,mature
Spain,SPA,Europe,2019,6,1001281,820517,0.819,1866.4,1531416821.72,mature
Spain,SPA,Europe,2019,7,1843656,1471329,0.798,1713.23,2520725186.13,mature
Spain,SPA,Europe,2019,8,1496119,1320554,0.883,1464.2,1933559864.82,mature
Spain,SPA,Europe,2019,9,1214430,977861,0.805,1265.59,1237575366.12,mature
Spain,SPA,Europe,2019,10,755832,683458,0.904,1003.25,685678901.49,mature
Spain,SPA,Europe,2019,11,925441,690177,0.746,1205.19,831791699.88,mature
Spain,SPA,Europe,2019,12,657454,432071,0.657,1687.01,728910088.23,mature
Spain,SPA,Europe,2020,1,183750,146293,0.796,1225.68,179308577.14,mature
Spain,SPA,Europe,2020,2,128473,100275,0.781,1182.35,118559818.9,mature
Spain,SPA,Europe,2020,3,210017,196061,0.934,1147.31,224942553.22,mature
Spain,SPA,Europe,2020,4,274017,174747,0.638,1155.0,201832337.25,mature
Spain,SPA,Europe,2020,5,330150,220339,0.667,971.05,213960506.6,mature
Spain,SPA,Europe,2020,6,389383,315209,0.81,1508.07,475355738.94,mature
Spain,SPA,Europe,2020,7,392961,366707,0.933,1909.58,700257047.16,mature
Spain,SPA,Europe,2020,8,418105,368968,0.882,1540.5,568393935.35,mature
Spain,SPA,Europe,2020,9,263220,198923,0.756,1183.07,235339322.47,mature
Spain,SPA,Europe,2020,10,325584,221783,0.681,1132.67,251207670.12,mature
Spain,SPA,Europe,2020,11,196334,148420,0.756,1123.51,166751313.2,mature
Spain,SPA,Europe,2020,12,128826,121783,0.945,1668.09,203145342.54,mature
Spain,SPA,Europe,2021,1,388761,262995,0.676,1145.09,301152739.05,mature
Spain,SPA,Europe,2021,2,279309,187365,0.671,1059.26,198468251.84,mature
Spain,SPA,Europe,2021,3,383967,307001,0.8,1099.49,337545389.7,mature
Spain,SPA,Europe,2021,4,607300,373032,0.614,975.55,363912154.07,mature
Spain,SPA,Europe,2021,5,889947,573415,0.644,960.78,550924309.0,mature
Spain,SPA,Europe,2021,6,768101,682347,0.888,1825.3,1245489862.19,mature
Spain,SPA,Europe,2021,7,992518,827572,0.834,1683.48,1393200794.3,mature
Spain,SPA,Europe,2021,8,1060605,657308,0.62,1830.33,1203087910.44,mature
Spain,SPA,Europe,2021,9,506508,373330,0.737,1029.1,384195610.8,mature
Spain,SPA,Europe,2021,10,691749,579280,0.837,1157.24,670367804.18,mature
Spain,SPA,Europe,2021,11,500627,412440,0.824,1239.52,511227274.12,mature
Spain,SPA,Europe,2021,12,414159,310668,0.75,1512.78,469972565.1,mature
Spain,SPA,Europe,2022,1,500039,422829,0.846,1208.9,511158323.92,mature
Spain,SPA,Europe,2022,2,420341,297630,0.708,1198.4,356678908.21,mature
Spain,SPA,Europe,2022,3,558288,519527,0.931,1083.61,562965635.27,mature
Spain,SPA,Europe,2022,4,818524,706018,0.863,1286.31,908155665.68,mature
Spain,SPA,Europe,2022,5,858794,623630,0.726,1114.81,695229049.55,mature
Spain,SPA,Europe,2022,6,1096043,908481,0.829,1887.7,1714943260.07,mature
Spain,SPA,Europe,2022,7,1140404,908129,0.796,1870.87,1698992562.87,mature
Spain,SPA,Europe,2022,8,1045101,807709,0.773,1855.31,1498550751.19,mature
Spain,SPA,Europe,2022,9,1350666,1053550,0.78,968.98,1020871700.84,mature
Spain,SPA,Europe,2022,10,849433,684091,0.805,1004.59,687230360.86,mature
Spain,SPA,Europe,2022,11,497282,432755,0.87,1230.25,532396467.05,mature
Spain,SPA,Europe,2022,12,619548,394656,0.637,1535.11,605840191.77,mature
Italy,ITA,Europe,2018,1,863306,735865,0.852,1458.5,1073260260.52,mature
Italy,ITA,Europe,2018,2,608831,549501,0.903,1338.59,735559052.26,mature
Italy,ITA,Europe,2018,3,828029,661915,0.799,1388.21,918874606.89,mature
Italy,ITA,Europe,2018,4,1222285,1063177,0.87,1158.96,1232175993.59,mature
Italy,ITA,Europe,2018,5,1394633,852398,0.611,1329.15,1132961175.18,mature
Italy,ITA,Europe,2018,6,1581003,996464,0.63,1969.93,1962968118.5,mature
Italy,ITA,Europe,2018,7,1644904,1502102,0.913,2146.11,3223681373.28,mature
Italy,ITA,Europe,2018,8,2097027,1900417,0.906,2092.47,3976565281.63,mature
Italy,ITA,Europe,2018,9,982910,693812,0.706,1328.68,921853549.86,mature
Italy,ITA,Europe,2018,10,1287235,1124739,0.874,1215.32,1366921225.0,mature
Italy,ITA,Europe,2018,11,903825,694963,0.769,1186.29,824430014.98,mature
Italy,ITA,Europe,2018,12,850043,681284,0.801,2095.02,1427303855.26,mature
Italy,ITA,Europe,2019,1,767711,719839,0.938,1120.0,806221353.92,mature
Italy,ITA,Europe,2019,2,618356,518103,0.838,1138.96,590098422.44,mature
Italy,ITA,Europe,2019,3,859037,538477,0.627,1364.23,734608677.51,mature
Italy,ITA,Europe,2019,4,1204546,956894,0.794,1373.5,1314293878.34,mature
Italy,ITA,Europe,2019,5,1383459,839150,0.607,1129.08,947465955.97,mature
Italy,ITA,Europe,2019,6,1880638,1195898,0.636,2239.88,2678670461.7,mature
Italy,ITA,Europe,2019,7,1865139,1559483,0.836,2211.42,3448664198.91,mature
Italy,ITA,Europe,2019,8,2129215,1824847,0.857,1876.48,3424288388.2,mature
Italy,ITA,Europe,2019,9,1571979,1054218,0.671,1464.79,1544210789.39,mature
Italy,ITA,Europe,2019,10,1036204,724415,0.699,1539.57,1115285639.63,mature
Italy,ITA,Europe,2019,11,990058,740534,0.748,1535.82,1137329365.91,mature
Italy,ITA,Europe,2019,12,794423,578461,0.728,2143.52,1239942781.19,mature
Italy,ITA,Europe,2020,1,236941,161552,0.682,1297.75,209653834.52,mature
Italy,ITA,Europe,2020,2,190542,117209,0.615,1277.04,149681135.93,mature
Italy,ITA,Europe,2020,3,241172,165368,0.686,1394.8,230655399.03,mature
Italy,ITA,Europe,2020,4,374358,304111,0.812,1331.82,405021560.1,mature
Italy,ITA,Europe,2020,5,324768,225161,0.693,1191.65,268313561.01,mature
Italy,ITA,Europe,2020,6,453291,370209,0.817,2056.76,761431680.57,mature
Italy,ITA,Europe,2020,7,516483,421133,0.815,2229.97,939112883.99,mature
Italy,ITA,Europe,2020,8,524434,404668,0.772,2090.5,845959020.39,mature
Italy,ITA,Europe,2020,9,356923,311378,0.872,1531.39,476842624.99,mature
Italy,ITA,Europe,2020,10,285572,253525,0.888,1279.0,324259552.15,mature
Italy,ITA,Europe,2020,11,230568,178140,0.773,1150.04,204867745.99,mature
Italy,ITA,Europe,2020,12,280864,170421,0.607,2088.02,355842866.68,mature
Italy,ITA,Europe,2021,1,469888,357410,0.761,1202.4,429749936.75,mature
Italy,ITA,Europe,2021,2,416883,276666,0.664,1428.86,395318043.77,mature
Italy,ITA,Europe,2021,3,548676,447644,0.816,1237.44,553930420.49,mature
Italy,ITA,Europe,2021,4,699662,552144,0.789,1297.84,716596901.93,mature
Italy,ITA,Europe,2021,5,850309,633907,0.746,1464.98,928658321.32,mature
Italy,ITA,Europe,2021,6,1243409,981327,0.789,2171.15,2130612023.94,mature
Italy,ITA,Europe,2021,7,1428182,1122756,0.786,1718.33,1929266112.92,mature
Italy,ITA,Europe,2021,8,1025549,742846,0.724,1982.46,1472664893.9,mature
Italy,ITA,Europe,2021,9,827572,683320,0.826,1402.88,958616028.76,mature
Italy,ITA,Europe,2021,10,862342,550388,0.638,1200.52,660751349.78,mature
Italy,ITA,Europe,2021,11,618659,459577,0.743,1440.4,661973649.65,mature
Italy,ITA,Europe,2021,12,362016,241476,0.667,1992.74,481198932.48,mature
Italy,ITA,Europe,2022,1,706406,489708,0.693,1291.5,632459920.3,mature
Italy,ITA,Europe,2022,2,447787,274477,0.613,1159.87,318357457.16,mature
Italy,ITA,Europe,2022,3,854214,770757,0.902,1229.29,947486787.14,mature
Italy,ITA,Europe,2022,4,739464,627079,0.848,1479.25,927605319.21,mature
Italy,ITA,Europe,2022,5,1038418,763249,0.735,1186.67,905724288.63,mature
Italy,ITA,Europe,2022,6,989267,817984,0.827,2221.82,1817413559.88,mature
Italy,ITA,Europe,2022,7,1678867,1586000,0.945,1923.26,3050292508.39,mature
Italy,ITA,Europe,2022,8,1987160,1334933,0.672,1746.03,2330828321.01,mature
Italy,ITA,Europe,2022,9,1530447,1117215,0.73,1253.43,1400349449.14,mature
Italy,ITA,Europe,2022,10,1329379,952791,0.717,1360.47,1296247794.87,mature
Italy,ITA,Europe,2022,11,790250,690927,0.874,1251.2,864490006.35,mature
Italy,ITA,Europe,2022,12,609664,370743,0.608,2123.37,787224281.66,mature
Germany,GER,Europe,2018,1,1243018,829444,0.667,1660.06,1376922713.03,mature
Germany,GER,Europe,2018,2,717679,575424,0.802,1851.83,1065587545.53,mature
Germany,GER,Europe,2018,3,1242922,1047686,0.843,2048.09,2145752822.19,mature
Germany,GER,Europe,2018,4,1278668,953910,0.746,1877.87,1791316671.14,mature
Germany,GER,Europe,2018,5,1941972,1178461,0.607,1657.29,1953046980.4,mature
Germany,GER,Europe,2018,6,1592155,1272351,0.799,2799.66,3562149480.17,mature
Germany,GER,Europe,2018,7,2730117,1956275,0.717,2557.29,5002761076.28,mature
Germany,GER,Europe,2018,8,2763405,1846315,0.668,2725.11,5031402690.75,mature
Germany,GER,Europe,2018,9,2310831,2057453,0.89,1919.94,3950190572.38,mature
Germany,GER,Europe,2018,10,1739043,1544385,0.888,1963.49,3032380845.94,mature
Germany,GER,Europe,2018,11,1354257,844470,0.624,1560.92,1318150594.81,mature
Germany,GER,Europe,2018,12,1174458,1093042,0.931,2898.22,3167876159.83,mature
Germany,GER,Europe,2019,1,1330937,1052430,0.791,1711.44,1801172503.08,mature
Germany,GER,Europe,2019,2,1035101,878997,0.849,1925.01,1692074667.48,mature
Germany,GER,Europe,2019,3,1439521,1048709,0.729,1558.84,1634772413.58,mature
Germany,GER,Europe,2019,4,2042651,1340335,0.656,1937.66,2597107301.62,mature
Germany,GER,Europe,2019,5,2118002,1500709,0.709,2014.32,3022906920.4,mature
Germany,GER,Europe,2019,6,2117855,1859456,0.878,2357.63,4383908012.3,mature
Germany,GER,Europe,2019,7,2958202,2476010,0.837,2681.42,6639210447.01,mature
Germany,GER,Europe,2019,8,2708964,2500683,0.923,2867.6,7170959835.08,mature
Germany,GER,Europe,2019,9,2634014,1993986,0.757,1840.3,3669523386.02,mature
Germany,GER,Europe,2019,10,1321605,1248864,0.945,1567.76,1957917475.37,mature
Germany,GER,Europe,2019,11,1230769,866700,0.704,1758.63,1524205268.22,mature
Germany,GER,Europe,2019,12,1542174,1123956,0.729,3008.24,3381127227.39,mature
Germany,GER,Europe,2020,1,345657,310804,0.899,1836.53,570800266.15,mature
Germany,GER,Europe,2020,2,270107,204544,0.757,1780.44,364179035.57,mature
Germany,GER,Europe,2020,3,404434,283659,0.701,1643.4,466164479.73,mature
Germany,GER,Europe,2020,4,404211,330863,0.819,1758.66,581874698.14,mature
Germany,GER,Europe,2020,5,610974,577640,0.945,1753.21,1012724352.51,mature
Germany,GER,Europe,2020,6,665403,437461,0.657,2605.22,1139682732.39,mature
Germany,GER,Europe,2020,7,890445,602022,0.676,2443.82,1471231904.62,mature
Germany,GER,Europe,2020,8,837613,742566,0.887,2782.97,2066537951.8,mature
Germany,GER,Europe,2020,9,698117,639886,0.917,1623.06,1038570187.96,mature
Germany,GER,Europe,2020,10,338170,250138,0.74,1836.72,459432912.0,mature
Germany,GER,Europe,2020,11,373414,241575,0.647,1607.89,388427196.2,mature
Germany,GER,Europe,2020,12,272235,244412,0.898,3031.87,741024798.93,mature
Germany,GER,Europe,2021,1,487678,328984,0.675,1587.76,522347971.93,mature
Germany,GER,Europe,2021,2,718832,672501,0.936,1686.79,1134371208.75,mature
Germany,GER,Europe,2021,3,771478,560813,0.727,1825.42,1023718775.97,mature
Germany,GER,Europe,2021,4,1050582,815815,0.777,2083.78,1699976460.68,mature
Germany,GER,Europe,2021,5,825264,725829,0.88,1728.66,1254713199.74,mature
Germany,GER,Europe,2021,6,1316229,1116281,0.848,3017.76,3368669959.36,mature
Germany,GER,Europe,2021,7,1947916,1697708,0.872,2880.6,4890415046.9,mature
Germany,GER,Europe,2021,8,1642046,1420247,0.865,2906.51,4127964868.72,mature
Germany,GER,Europe,2021,9,1167199,919594,0.788,1973.6,1814909966.69,mature
Germany,GER,Europe,2021,10,957682,687633,0.718,1997.7,1373684332.24,mature
Germany,GER,Europe,2021,11,844922,576189,0.682,1948.96,1122971404.6,mature
Germany,GER,Europe,2021,12,611280,386675,0.633,2745.25,1061519169.93,mature
Germany,GER,Europe,2022,1,1110245,679925,0.612,2012.06,1368053256.54,mature
Germany,GER,Europe,2022,2,727670,655858,0.901,2021.84,1326041719.15,mature
Germany,GER,Europe,2022,3,1152592,1001724,0.869,2021.56,2025048771.86,mature
