Country,Country_Code,Region,Year,Month,Hotel_Bookings,Average_Daily_Rate,Occupancy_Rate,Revenue,Tourism_Maturity
France,FRA,Europe,2018,1,481932,5827.65,0.865,2428410638.0,mature
France,FRA,Europe,2018,2,425699,5377.87,0.458,1048447434.62,mature
France,FRA,Europe,2018,3,459418,3696.45,0.405,687395606.15,mature
France,FRA,Europe,2018,4,386817,5746.83,0.532,1182466406.4,mature
France,FRA,Europe,2018,5,818926,5033.17,0.53,2186580758.63,mature
France,FRA,Europe,2018,6,1141306,7104.12,0.941,7631106824.89,mature
France,FRA,Europe,2018,7,1217377,6618.12,0.921,7422496259.79,mature
France,FRA,Europe,2018,8,1093597,6759.6,0.769,5683559413.07,mature
France,FRA,Europe,2018,9,901404,4079.35,0.817,3004759312.61,mature
France,FRA,Europe,2018,10,582075,4761.4,0.405,1123723348.77,mature
France,FRA,Europe,2018,11,622910,5421.94,0.487,1646029525.17,mature
France,FRA,Europe,2018,12,368695,6956.62,0.822,2107398754.35,mature
France,FRA,Europe,2019,1,366726,5645.82,0.918,1901122764.72,mature
France,FRA,Europe,2019,2,464254,4064.67,0.598,1128543827.6,mature
France,FRA,Europe,2019,3,570448,5051.65,0.768,2212472266.73,mature
France,FRA,Europe,2019,4,727403,4413.31,0.89,2857142050.67,mature
France,FRA,Europe,2019,5,686719,4702.97,0.827,2669473204.06,mature
France,FRA,Europe,2019,6,1053017,8329.44,0.851,7462769773.93,mature
France,FRA,Europe,2019,7,1281946,6584.6,0.499,4212746496.8,mature
France,FRA,Europe,2019,8,988280,7140.9,0.929,6559382798.1,mature
France,FRA,Europe,2019,9,853657,4276.37,0.911,3326869385.0,mature
France,FRA,Europe,2019,10,805581,4245.21,0.608,2080591457.89,mature
France,FRA,Europe,2019,11,455818,5975.11,0.685,1864313166.07,mature
France,FRA,Europe,2019,12,406383,7425.18,0.873,2635645150.0,mature
France,FRA,Europe,2020,1,110304,6002.87,0.902,596998217.17,mature
France,FRA,Europe,2020,2,107298,5480.3,0.814,478500731.12,mature
France,FRA,Europe,2020,3,185874,4302.28,0.656,524620489.36,mature
France,FRA,Europe,2020,4,196534,5490.02,0.616,665087805.36,mature
France,FRA,Europe,2020,5,288480,3646.32,0.83,873202004.56,mature
France,FRA,Europe,2020,6,274770,7273.02,0.671,1341468335.91,mature
France,FRA,Europe,2020,7,301187,7863.84,0.7,1657055317.0,mature
France,FRA,Europe,2020,8,297231,6993.57,0.823,1710078652.46,mature
France,FRA,Europe,2020,9,218093,4802.72,0.755,790380160.87,mature
France,FRA,Europe,2020,10,229738,5311.03,0.425,518565246.1,mature
France,FRA,Europe,2020,11,151711,6021.17,0.66,602774052.59,mature
France,FRA,Europe,2020,12,138754,7931.27,0.653,718390951.46,mature
France,FRA,Europe,2021,1,260898,5185.04,0.526,712097750.7,mature
France,FRA,Europe,2021,2,195832,3596.64,0.561,394998412.25,mature
France,FRA,Europe,2021,3,362074,4919.23,0.561,999234041.76,mature
France,FRA,Europe,2021,4,401737,4263.2,0.643,1100462116.17,mature
France,FRA,Europe,2021,5,414156,4184.78,0.427,739332301.52,mature
France,FRA,Europe,2021,6,607956,8444.68,0.508,2606223619.31,mature
France,FRA,Europe,2021,7,629168,6593.87,0.862,3575049038.3,mature
France,FRA,Europe,2021,8,711124,6711.4,0.601,2866814594.77,mature
France,FRA,Europe,2021,9,578277,4515.91,0.689,1800369335.7,mature
France,FRA,Europe,2021,10,368237,5030.25,0.938,1737455039.11,mature
France,FRA,Europe,2021,11,389956,5480.28,0.622,1330049835.82,mature
France,FRA,Europe,2021,12,278610,7450.96,0.942,1955646951.66,mature
France,FRA,Europe,2022,1,433765,4659.31,0.407,821884786.8,mature
France,FRA,Europe,2022,2,354250,6007.5,0.688,1463498141.24,mature
France,FRA,Europe,2022,3,414071,3583.68,0.595,883047559.63,mature
France,FRA,Europe,2022,4,615756,6039.32,0.92,3421068593.82,mature
France,FRA,Europe,2022,5,669404,4934.52,0.725,2394405691.37,mature
France,FRA,Europe,2022,6,752804,8333.76,0.63,3954811094.47,mature
France,FRA,Europe,2022,7,1038681,6858.46,0.546,3890513394.16,mature
France,FRA,Europe,2022,8,1267940,8829.45,0.696,7796954319.79,mature
France,FRA,Europe,2022,9,459396,5863.97,0.786,2117758931.42,mature
France,FRA,Europe,2022,10,516805,5035.91,0.636,1656223694.05,mature
France,FRA,Europe,2022,11,523371,5762.76,0.489,1473636800.14,mature
France,FRA,Europe,2022,12,337628,6558.88,0.573,1268221890.41,mature
Spain,SPA,Europe,2018,1,309317,2915.97,0.406,366359532.32,mature
Spain,SPA,Europe,2018,2,231646,3118.88,0.417,301534231.05,mature
Spain,SPA,Europe,2018,3,379150,3543.84,0.453,609168886.91,mature
Spain,SPA,Europe,2018,4,436664,4317.58,0.919,1733482036.86,mature
Spain,SPA,Europe,2018,5,384836,3951.68,0.594,904059334.55,mature
Spain,SPA,Europe,2018,6,561802,5212.77,0.577,1689638632.48,mature
Spain,SPA,Europe,2018,7,978481,5869.95,0.812,4663720369.07,mature
Spain,SPA,Europe,2018,8,637374,5259.19,0.57,1909371858.75,mature
Spain,SPA,Europe,2018,9,521145,4319.38,0.828,1863552572.3,mature
Spain,SPA,Europe,2018,10,591158,3767.6,0.623,1388574552.26,mature
Spain,SPA,Europe,2018,11,383072,3399.45,0.629,819466822.94,mature
Spain,SPA,Europe,2018,12,337389,5517.0,0.563,1047187800.2,mature
Spain,SPA,Europe,2019,1,403235,4057.96,0.631,1032897774.52,mature
Spain,SPA,Europe,2019,2,282818,2625.85,0.691,513314990.64,mature
Spain,SPA,Europe,2019,3,330646,2572.54,0.737,626985533.83,mature
Spain,SPA,Europe,2019,4,338378,3856.57,0.893,1165143072.38,mature
Spain,SPA,Europe,2019,5,508516,3824.14,0.683,1328159803.55,mature
Spain,SPA,Europe,2019,6,448535,5852.87,0.735,1930076179.29,mature
Spain,SPA,Europe,2019,7,879093,6347.65,0.687,3831312416.92,mature
Spain,SPA,Europe,2019,8,896102,5596.61,0.464,2325611526.25,mature
Spain,SPA,Europe,2019,9,519944,2848.19,0.728,1078722400.49,mature
Spain,SPA,Europe,2019,10,506258,3363.18,0.454,772549483.02,mature
Spain,SPA,Europe,2019,11,419772,2666.62,0.775,867702315.27,mature
Spain,SPA,Europe,2019,12,349012,6412.28,0.482,1078343296.99,mature
Spain,SPA,Europe,2020,1,102171,3541.57,0.907,328324862.01,mature
Spain,SPA,Europe,2020,2,81089,2781.92,0.64,144371526.46,mature
Spain,SPA,Europe,2020,3,121450,3780.51,0.875,401608268.89,mature
Spain,SPA,Europe,2020,4,136882,4232.78,0.433,250601988.36,mature
Spain,SPA,Europe,2020,5,207366,4063.98,0.763,643130520.92,mature
Spain,SPA,Europe,2020,6,207465,4810.85,0.423,422003003.26,mature
Spain,SPA,Europe,2020,7,158723,4837.25,0.701,538261325.44,mature
Spain,SPA,Europe,2020,8,160341,6228.37,0.645,644299224.49,mature
Spain,SPA,Europe,2020,9,164510,3695.17,0.576,350097045.43,mature
Spain,SPA,Europe,2020,10,128099,3136.42,0.838,336750429.13,mature
Spain,SPA,Europe,2020,11,95899,2976.37,0.85,242563587.89,mature
Spain,SPA,Europe,2020,12,59481,5938.53,0.642,226598779.98,mature
Spain,SPA,Europe,2021,1,209618,4189.43,0.813,713537720.54,mature
Spain,SPA,Europe,2021,2,151210,2791.76,0.843,356073381.2,mature
Spain,SPA,Europe,2021,3,235882,2655.56,0.795,498288423.66,mature
Spain,SPA,Europe,2021,4,240081,2608.0,0.897,561334584.54,mature
Spain,SPA,Europe,2021,5,382870,3025.73,0.794,919832801.44,mature
Spain,SPA,Europe,2021,6,508662,4680.55,0.778,1853036198.66,mature
Spain,SPA,Europe,2021,7,586785,5057.87,0.669,1986382883.99,mature
Spain,SPA,Europe,2021,8,381430,6024.15,0.866,1990119039.86,mature
Spain,SPA,Europe,2021,9,245972,3989.63,0.824,808978405.85,mature
Spain,SPA,Europe,2021,10,300353,3762.52,0.4,452063717.69,mature
Spain,SPA,Europe,2021,11,271988,3510.69,0.741,707733301.55,mature
Spain,SPA,Europe,2021,12,246403,5690.46,0.871,1221579101.98,mature
Spain,SPA,Europe,2022,1,268553,4153.97,0.72,803518631.76,mature
Spain,SPA,Europe,2022,2,168414,4164.41,0.775,543469118.14,mature
Spain,SPA,Europe,2022,3,318262,4293.87,0.441,603148840.52,mature
Spain,SPA,Europe,2022,4,381838,2950.37,0.747,841244291.78,mature
Spain,SPA,Europe,2022,5,494369,4259.36,0.65,1368760533.04,mature
Spain,SPA,Europe,2022,6,657103,6330.69,0.776,3227384408.5,mature
Spain,SPA,Europe,2022,7,601490,5774.14,0.933,3242034134.36,mature
Spain,SPA,Europe,2022,8,743363,5836.25,0.888,3851864141.38,mature
Spain,SPA,Europe,2022,9,512323,2962.94,0.924,1402750225.43,mature
Spain,SPA,Europe,2022,10,430686,2863.99,0.631,778698739.96,mature
Spain,SPA,Europe,2022,11,299559,3606.87,0.561,605697599.49,mature
Spain,SPA,Europe,2022,12,318256,6327.18,0.616,1239686278.79,mature
Italy,ITA,Europe,2018,1,370908,4415.24,0.765,1252224842.08,mature
Italy,ITA,Europe,2018,2,242565,3809.91,0.591,546563008.8,mature
Italy,ITA,Europe,2018,3,400508,3902.09,0.778,1215151967.99,mature
Italy,ITA,Europe,2018,4,717562,4575.63,0.606,1990017635.7,mature
Italy,ITA,Europe,2018,5,693614,2953.68,0.662,1357023813.11,mature
Italy,ITA,Europe,2018,6,771845,6783.09,0.661,3459274715.69,mature
Italy,ITA,Europe,2018,7,1007270,7364.59,0.712,5278071577.69,mature
Italy,ITA,Europe,2018,8,1000578,7519.56,0.788,5929308278.41,mature
Italy,ITA,Europe,2018,9,578827,3018.72,0.606,1058809132.99,mature
Italy,ITA,Europe,2018,10,637787,4614.13,0.641,1886232274.06,mature
Italy,ITA,Europe,2018,11,628530,3510.77,0.81,1786287143.24,mature
Italy,ITA,Europe,2018,12,381678,6480.58,0.841,2081138129.03,mature
Italy,ITA,Europe,2019,1,427158,3143.31,0.686,921272720.9,mature
Italy,ITA,Europe,2019,2,336214,4614.05,0.933,1446712852.86,mature
Italy,ITA,Europe,2019,3,423736,4182.55,0.775,1373003456.71,mature
Italy,ITA,Europe,2019,4,620964,4919.44,0.792,2418932909.12,mature
Italy,ITA,Europe,2019,5,743561,3279.2,0.611,1490516811.53,mature
Italy,ITA,Europe,2019,6,841613,6982.92,0.749,4404571516.83,mature
Italy,ITA,Europe,2019,7,1169415,6361.22,0.8,5952575771.62,mature
Italy,ITA,Europe,2019,8,966115,5801.43,0.49,2743897244.76,mature
Italy,ITA,Europe,2019,9,985791,3099.67,0.841,2569262736.64,mature
Italy,ITA,Europe,2019,10,512636,3923.7,0.904,1817883633.58,mature
Italy,ITA,Europe,2019,11,550040,3381.25,0.556,1034524661.77,mature
Italy,ITA,Europe,2019,12,489610,6357.0,0.723,2249810981.94,mature
Italy,ITA,Europe,2020,1,126055,3734.72,0.523,246125507.82,mature
Italy,ITA,Europe,2020,2,94761,4448.31,0.551,232339643.6,mature
Italy,ITA,Europe,2020,3,143342,4734.52,0.906,615114438.83,mature
Italy,ITA,Europe,2020,4,176653,3578.24,0.873,551952066.79,mature
Italy,ITA,Europe,2020,5,161018,2947.28,0.879,417121937.32,mature
Italy,ITA,Europe,2020,6,256380,6330.44,0.645,1047619705.65,mature
Italy,ITA,Europe,2020,7,339585,6169.57,0.891,1866213780.04,mature
Italy,ITA,Europe,2020,8,330797,6567.3,0.579,1258036112.36,mature
Italy,ITA,Europe,2020,9,195706,4250.52,0.646,537203707.97,mature
Italy,ITA,Europe,2020,10,198986,3972.44,0.681,538688515.32,mature
Italy,ITA,Europe,2020,11,129941,4597.45,0.634,378547861.9,mature
Italy,ITA,Europe,2020,12,126358,7270.26,0.728,669016395.0,mature
Italy,ITA,Europe,2021,1,244722,4222.73,0.795,821922261.08,mature
Italy,ITA,Europe,2021,2,204187,3011.07,0.846,520032578.88,mature
Italy,ITA,Europe,2021,3,265590,4455.82,0.445,526946184.3,mature
Italy,ITA,Europe,2021,4,312744,3072.35,0.687,660320182.38,mature
Italy,ITA,Europe,2021,5,421995,3300.01,0.604,841673216.87,mature
Italy,ITA,Europe,2021,6,667403,6389.02,0.841,3587766583.41,mature
Italy,ITA,Europe,2021,7,738910,7506.13,0.894,4958866134.36,mature
Italy,ITA,Europe,2021,8,463097,7481.4,0.847,2933896472.58,mature
Italy,ITA,Europe,2021,9,443493,2971.86,0.925,1218928266.01,mature
Italy,ITA,Europe,2021,10,447074,4552.73,0.445,905428045.29,mature
Italy,ITA,Europe,2021,11,262531,4960.75,0.675,879571588.95,mature
Italy,ITA,Europe,2021,12,204259,7223.88,0.448,661097581.3,mature
Italy,ITA,Europe,2022,1,341366,3728.97,0.592,754115349.14,mature
Italy,ITA,Europe,2022,2,253898,3381.16,0.495,425028861.71,mature
Italy,ITA,Europe,2022,3,437651,4870.73,0.68,1449261534.91,mature
Italy,ITA,Europe,2022,4,417729,3274.24,0.857,1171580158.38,mature
Italy,ITA,Europe,2022,5,721562,3673.23,0.56,1484318161.79,mature
Italy,ITA,Europe,2022,6,610905,7088.19,0.65,2816679180.53,mature
Italy,ITA,Europe,2022,7,824359,6964.75,0.928,5329942287.53,mature
Italy,ITA,Europe,2022,8,742317,7554.5,0.616,3452667125.35,mature
Italy,ITA,Europe,2022,9,771079,4142.07,0.668,2132439517.98,mature
Italy,ITA,Europe,2022,10,671356,3771.08,0.469,1188298377.04,mature
Italy,ITA,Europe,2022,11,427677,4036.02,0.511,882124151.86,mature
Italy,ITA,Europe,2022,12,353007,5937.7,0.625,1310188362.13,mature
Germany,GER,Europe,2018,1,511120,5575.09,0.569,1621961381.77,mature
Germany,GER,Europe,2018,2,394807,4678.9,0.43,793539659.22,mature
Germany,GER,Europe,2018,3,759580,5878.33,0.587,2622806363.83,mature
Germany,GER,Europe,2018,4,640579,6524.86,0.493,2062203717.41,mature
Germany,GER,Europe,2018,5,1100244,5410.35,0.587,3495507022.47,mature
Germany,GER,Europe,2018,6,1058599,10013.3,0.604,6401300361.17,mature
Germany,GER,Europe,2018,7,1521554,8735.5,0.907,12059107084.11,mature
Germany,GER,Europe,2018,8,1319356,8201.22,0.502,5429098723.27,mature
Germany,GER,Europe,2018,9,926001,4791.06,0.527,2336280810.06,mature
Germany,GER,Europe,2018,10,1005262,4365.89,0.613,2690579312.94,mature
Germany,GER,Europe,2018,11,657245,4869.68,0.436,1395131676.61,mature
Germany,GER,Europe,2018,12,453559,7850.78,0.86,3061263155.16,mature
Germany,GER,Europe,2019,1,624665,4217.82,0.615,1620588880.93,mature
Germany,GER,Europe,2019,2,440403,5696.76,0.688,1724955467.13,mature
Germany,GER,Europe,2019,3,606037,4937.8,0.476,1423794942.32,mature
Germany,GER,Europe,2019,4,963009,6565.99,0.919,5812722980.97,mature
Germany,GER,Europe,2019,5,758762,6162.94,0.8,3738983488.68,mature
Germany,GER,Europe,2019,6,1338206,8216.39,0.808,8886326290.63,mature
Germany,GER,Europe,2019,7,1144528,9305.99,0.593,6315662430.24,mature
Germany,GER,Europe,2019,8,1395724,9974.32,0.601,8361906430.4,mature
Germany,GER,Europe,2019,9,1123229,4370.12,0.629,3089007500.37,mature
Germany,GER,Europe,2019,10,689136,4559.4,0.892,2802587420.25,mature
Germany,GER,Europe,2019,11,560455,5862.93,0.89,2923073019.44,mature
Germany,GER,Europe,2019,12,769567,9772.53,0.497,3736826230.02,mature
Germany,GER,Europe,2020,1,200934,4828.51,0.907,880290934.53,mature
Germany,GER,Europe,2020,2,158293,6293.57,0.447,445082715.77,mature
Germany,GER,Europe,2020,3,231106,6396.89,0.874,1291900959.61,mature
Germany,GER,Europe,2020,4,175512,6736.78,0.424,501137892.57,mature
Germany,GER,Europe,2020,5,294471,6028.96,0.459,814957755.67,mature
Germany,GER,Europe,2020,6,276685,9748.55,0.612,1649570409.53,mature
Germany,GER,Europe,2020,7,344038,9684.48,0.867,2888829079.19,mature
Germany,GER,Europe,2020,8,455994,7952.36,0.408,1480851839.84,mature
Germany,GER,Europe,2020,9,318753,5616.4,0.758,1356895534.52,mature
Germany,GER,Europe,2020,10,232879,5282.58,0.468,576328887.24,mature
Germany,GER,Europe,2020,11,218207,5602.35,0.738,902688491.57,mature
Germany,GER,Europe,2020,12,195073,10170.96,0.715,1417926708.07,mature
Germany,GER,Europe,2021,1,264806,6903.69,0.774,1415800229.23,mature
Germany,GER,Europe,2021,2,300827,5644.33,0.629,1067526583.24,mature
Germany,GER,Europe,2021,3,483652,5421.6,0.853,2236552552.11,mature
Germany,GER,Europe,2021,4,556175,6406.08,0.797,2840357153.62,mature
Germany,GER,Europe,2021,5,560987,5147.22,0.463,1337110698.07,mature
Germany,GER,Europe,2021,6,786802,8922.73,0.47,3299995300.54,mature
Germany,GER,Europe,2021,7,758495,7946.62,0.813,4900545911.01,mature
Germany,GER,Europe,2021,8,958938,8075.0,0.866,6704315992.66,mature
Germany,GER,Europe,2021,9,525524,6315.8,0.669,2219960090.19,mature
Germany,GER,Europe,2021,10,464311,5130.4,0.591,1407647702.52,mature
Germany,GER,Europe,2021,11,426537,4133.67,0.936,1650506650.88,mature
Germany,GER,Europe,2021,12,370170,8733.55,0.745,2409899877.87,mature
Germany,GER,Europe,2022,1,405129,5512.47,0.942,2103291718.13,mature
Germany,GER,Europe,2022,2,324467,6112.16,0.639,1267725874.21,mature
Germany,GER,Europe,2022,3,531634,4622.08,0.659,1618729082.56,mature
Germany,GER,Europe,2022,4,721180,4594.43,0.75,2485204970.95,mature
Germany,GER,Europe,2022,5,824446,5659.35,0.738,3444863383.3,mature
Germany,GER,Europe,2022,6,900094,7536.76,0.895,6071855911.25,mature
Germany,GER,Europe,2022,7,1527083,7989.6,0.627,7653556578.47,mature
Germany,GER,Europe,2022,8,1188622,10310.58,0.923,11313253731.57,mature
Germany,GER,Europe,2022,9,982328,4488.12,0.903,3980978365.75,mature
Germany,GER,Europe,2022,10,875333,5117.62,0.617,2763867948.07,mature
Germany,GER,Europe,2022,11,550005,5921.79,0.543,1770054298.07,mature
Germany,GER,Europe,2022,12,428362,7894.74,0.642,2171335718.27,mature
United Kingdom,UNI,Europe,2018,1,363401,5844.19,0.459,974137276.36,mature
United Kingdom,UNI,Europe,2018,2,372336,6197.38,0.9,2076334039.97,mature
United Kingdom,UNI,Europe,2018,3,570078,4068.9,0.641,1486800952.76,mature
United Kingdom,UNI,Europe,2018,4,543266,6446.79,0.583,2042452290.67,mature
United Kingdom,UNI,Europe,2018,5,820671,5884.36,0.906,4376823244.54,mature
United Kingdom,UNI,Europe,2018,6,1032617,8841.16,0.656,5991620588.09,mature
United Kingdom,UNI,Europe,2018,7,1273388,7274.24,0.886,8208416458.24,mature
United Kingdom,UNI,Europe,2018,8,1117573,7128.36,0.906,7217191031.47,mature
United Kingdom,UNI,Europe,2018,9,789548,6125.19,0.871,4213665636.63,mature
United Kingdom,UNI,Europe,2018,10,605955,3945.79,0.536,1281288947.46,mature
United Kingdom,UNI,Europe,2018,11,700254,6207.28,0.652,2833758633.2,mature
United Kingdom,UNI,Europe,2018,12,480365,7492.88,0.933,3356816529.75,mature
United Kingdom,UNI,Europe,2019,1,465207,4295.53,0.763,1525511954.2,mature
United Kingdom,UNI,Europe,2019,2,357902,6314.68,0.406,917572742.03,mature
United Kingdom,UNI,Europe,2019,3,478610,5143.17,0.668,1645398840.57,mature
United Kingdom,UNI,Europe,2019,4,557351,5115.2,0.626,1785882273.57,mature
United Kingdom,UNI,Europe,2019,5,1109725,3804.99,0.937,3956252996.4,mature
United Kingdom,UNI,Europe,2019,6,906383,7429.98,0.426,2866957529.2,mature
United Kingdom,UNI,Europe,2019,7,1133781,7654.2,0.566,4908740712.02,mature
United Kingdom,UNI,Europe,2019,8,995237,8775.47,0.704,6152352993.59,mature
United Kingdom,UNI,Europe,2019,9,806254,5201.62,0.835,3502493997.29,mature
United Kingdom,UNI,Europe,2019,10,549010,6182.3,0.718,2437226921.79,mature
United Kingdom,UNI,Europe,2019,11,651805,4179.98,0.946,2578663264.82,mature
