Country,Country_Code,Region,Year,Month,Arrivals,Arrivals_Growth_Rate,Arrivals_Per_Capita,Source_Market_Diversity,Peak_Season_Arrivals,Off_Season_Arrivals,Population,GDP_Per_Capita,Tourism_Maturity
France,FRA,Europe,2018,1,636636,1.6,0.009447,0.77,519358,711405,67390000,42000,mature
France,FRA,Europe,2018,2,519528,5.0,0.007709,0.75,375771,682025,67390000,42000,mature
France,FRA,Europe,2018,3,674375,3.6,0.010007,0.49,505339,777566,67390000,42000,mature
France,FRA,Europe,2018,4,597408,4.9,0.008865,0.55,488618,665201,67390000,42000,mature
France,FRA,Europe,2018,5,919062,-2.2,0.013638,0.63,777185,1036630,67390000,42000,mature
France,FRA,Europe,2018,6,1523491,3.2,0.022607,0.42,2334389,853860,67390000,42000,mature
France,FRA,Europe,2018,7,1425201,1.1,0.021149,0.74,2112214,790480,67390000,42000,mature
France,FRA,Europe,2018,8,1339668,2.0,0.019879,0.85,1912556,829928,67390000,42000,mature
France,FRA,Europe,2018,9,1135159,-3.9,0.016845,0.67,850888,1490123,67390000,42000,mature
France,FRA,Europe,2018,10,929655,4.6,0.013795,0.86,682515,1047755,67390000,42000,mature
France,FRA,Europe,2018,11,699411,1.1,0.010379,0.59,533942,894475,67390000,42000,mature
France,FRA,Europe,2018,12,524832,-0.6,0.007788,0.67,730712,333931,67390000,42000,mature
France,FRA,Europe,2019,1,593726,8.1,0.00881,0.4,504949,741948,67390000,42000,mature
France,FRA,Europe,2019,2,578158,8.8,0.008579,0.44,449433,640488,67390000,42000,mature
France,FRA,Europe,2019,3,767586,9.9,0.01139,0.57,560468,886283,67390000,42000,mature
France,FRA,Europe,2019,4,949285,0.5,0.014086,0.72,818240,1132812,67390000,42000,mature
France,FRA,Europe,2019,5,1099776,1.8,0.01632,0.78,890603,1391252,67390000,42000,mature
France,FRA,Europe,2019,6,1703190,0.4,0.025274,0.61,2312295,941774,67390000,42000,mature
France,FRA,Europe,2019,7,1605947,3.5,0.023831,0.56,2413050,1042112,67390000,42000,mature
France,FRA,Europe,2019,8,1406537,-2.5,0.020872,0.78,1995370,772523,67390000,42000,mature
France,FRA,Europe,2019,9,1073137,2.5,0.015924,0.86,911414,1322123,67390000,42000,mature
France,FRA,Europe,2019,10,979814,6.6,0.014539,0.49,845393,1185028,67390000,42000,mature
France,FRA,Europe,2019,11,690813,3.4,0.010251,0.51,544594,881702,67390000,42000,mature
France,FRA,Europe,2019,12,467744,6.7,0.006941,0.51,648274,271532,67390000,42000,mature
France,FRA,Europe,2020,1,179018,-69.4,0.002656,0.66,149029,208962,67390000,42000,mature
France,FRA,Europe,2020,2,151346,-79.8,0.002246,0.55,115866,164793,67390000,42000,mature
France,FRA,Europe,2020,3,213557,-59.1,0.003169,0.43,163282,277193,67390000,42000,mature
France,FRA,Europe,2020,4,228661,-73.5,0.003393,0.64,200696,260237,67390000,42000,mature
France,FRA,Europe,2020,5,337911,-67.7,0.005014,0.52,282668,394771,67390000,42000,mature
France,FRA,Europe,2020,6,415042,-64.5,0.006159,0.67,571549,265725,67390000,42000,mature
France,FRA,Europe,2020,7,409824,-74.3,0.006081,0.42,625912,254627,67390000,42000,mature
France,FRA,Europe,2020,8,424945,-73.3,0.006306,0.51,655924,238361,67390000,42000,mature
France,FRA,Europe,2020,9,302910,-63.7,0.004495,0.87,224760,351938,67390000,42000,mature
France,FRA,Europe,2020,10,263192,-68.6,0.003906,0.73,223912,319318,67390000,42000,mature
France,FRA,Europe,2020,11,178155,-70.5,0.002644,0.45,153846,230906,67390000,42000,mature
France,FRA,Europe,2020,12,155751,-65.5,0.002311,0.57,244184,100872,67390000,42000,mature
France,FRA,Europe,2021,1,373021,101.7,0.005535,0.72,273597,417333,67390000,42000,mature
France,FRA,Europe,2021,2,310117,104.2,0.004602,0.4,228319,384309,67390000,42000,mature
France,FRA,Europe,2021,3,503769,102.4,0.007475,0.73,380791,630177,67390000,42000,mature
France,FRA,Europe,2021,4,448760,94.3,0.006659,0.77,369752,576124,67390000,42000,mature
France,FRA,Europe,2021,5,656368,109.5,0.00974,0.45,511202,750655,67390000,42000,mature
France,FRA,Europe,2021,6,791762,98.8,0.011749,0.72,1257670,475308,67390000,42000,mature
France,FRA,Europe,2021,7,885687,113.6,0.013143,0.5,1387638,508112,67390000,42000,mature
France,FRA,Europe,2021,8,852678,99.3,0.012653,0.49,1391688,558053,67390000,42000,mature
France,FRA,Europe,2021,9,652252,103.6,0.009679,0.41,566501,771460,67390000,42000,mature
France,FRA,Europe,2021,10,521160,103.9,0.007734,0.59,446208,602493,67390000,42000,mature
France,FRA,Europe,2021,11,433646,93.8,0.006435,0.87,360518,527667,67390000,42000,mature
France,FRA,Europe,2021,12,372310,96.0,0.005525,0.9,518265,224205,67390000,42000,mature
France,FRA,Europe,2022,1,533978,44.5,0.007924,0.75,444482,622767,67390000,42000,mature
France,FRA,Europe,2022,2,468496,38.6,0.006952,0.81,402312,608659,67390000,42000,mature
France,FRA,Europe,2022,3,632433,60.9,0.009385,0.8,521121,789575,67390000,42000,mature
France,FRA,Europe,2022,4,703345,42.5,0.010437,0.57,548675,775477,67390000,42000,mature
France,FRA,Europe,2022,5,817518,42.1,0.012131,0.63,659593,939141,67390000,42000,mature
France,FRA,Europe,2022,6,988325,42.1,0.014666,0.42,1578139,576414,67390000,42000,mature
France,FRA,Europe,2022,7,1297118,36.3,0.019248,0.78,1835093,797399,67390000,42000,mature
France,FRA,Europe,2022,8,1490291,50.9,0.022114,0.72,2336519,979273,67390000,42000,mature
France,FRA,Europe,2022,9,753739,42.6,0.011185,0.8,575354,893447,67390000,42000,mature
France,FRA,Europe,2022,10,713615,50.0,0.010589,0.49,531664,813563,67390000,42000,mature
France,FRA,Europe,2022,11,707640,43.7,0.010501,0.73,541195,926419,67390000,42000,mature
