Country,Country_Code,Region,Year,Month,Total_Revenue,Accommodation_Revenue,Transportation_Revenue,Food_Beverage_Revenue,Activities_Revenue,Revenue_Per_Tourist,Tourism_Maturity
France,FRA,Europe,2018,1,8809663561.52,4354541054.95,2553721866.69,2158000076.53,974493160.54,13837.83,mature
France,FRA,Europe,2018,2,8053832564.89,2682323405.97,2094282821.52,1395519069.2,1426036547.43,15502.21,mature
France,FRA,Europe,2018,3,10971156533.24,4545579655.78,3099600939.2,2194530853.05,1393174221.73,16268.63,mature
France,FRA,Europe,2018,4,9650616538.23,4742433854.75,2510279157.05,2055214067.5,1867153692.19,16154.15,mature
France,FRA,Europe,2018,5,14370510269.47,7174786107.97,3103544557.52,2927330198.33,1743000399.16,15636.06,mature
France,FRA,Europe,2018,6,33339537383.92,11139232261.69,7409808106.51,5703728221.11,4400923417.53,21883.65,mature
France,FRA,Europe,2018,7,28956448831.24,13374069704.7,6430287930.38,5549703203.94,2942140653.28,20317.45,mature
France,FRA,Europe,2018,8,27022962890.16,12950873327.92,7666847490.18,6325866056.14,3813895101.94,20171.39,mature
France,FRA,Europe,2018,9,15664606579.9,5037407020.24,4081574158.75,3647023138.01,2976454581.95,13799.48,mature
France,FRA,Europe,2018,10,13501219042.26,4917215720.22,2836439592.51,3070730475.68,1722337378.05,14522.83,mature
France,FRA,Europe,2018,11,10817990957.12,5255157815.23,2977344488.27,1679750452.08,1090620728.62,15467.29,mature
France,FRA,Europe,2018,12,12346842083.39,5068379260.42,3358753936.64,2045643713.99,2311387917.61,23525.32,mature
France,FRA,Europe,2019,1,10036414925.85,4799090272.47,2349621166.68,1782171412.59,1155925461.42,16904.12,mature
France,FRA,Europe,2019,2,10218627512.29,3426978606.58,2165651339.17,1729684811.58,1810109004.78,17674.45,mature
France,FRA,Europe,2019,3,13413677924.7,6199569763.46,3438245639.24,3345216012.14,1433726416.96,17475.15,mature
France,FRA,Europe,2019,4,16484694662.94,6355554881.57,4047194227.86,2683040485.68,1703582703.68,17365.38,mature
France,FRA,Europe,2019,5,16122618933.54,5400605056.78,4003792444.7,2655928232.92,1834637526.95,14659.91,mature
France,FRA,Europe,2019,6,40817756901.79,19766363701.27,12099265660.65,8900321863.7,7228892116.18,23965.47,mature
France,FRA,Europe,2019,7,38162192895.89,16477840013.47,8892718685.6,6321136014.45,4721706261.27,23763.05,mature
France,FRA,Europe,2019,8,33455600247.66,14694350261.82,8216012135.44,5116716487.89,4236162724.91,23785.79,mature
France,FRA,Europe,2019,9,17906151802.66,7206822263.47,4361101456.65,3247601867.17,2877396529.48,16685.8,mature
France,FRA,Europe,2019,10,17492440803.93,8400302638.66,3551836498.45,3465171747.69,2325566299.67,17852.82,mature
France,FRA,Europe,2019,11,10785740263.9,4543414759.85,2372893131.47,2460840059.26,1590970085.98,15613.11,mature
France,FRA,Europe,2019,12,11474096045.02,3499891620.98,2512504813.92,2512402263.47,1945065522.52,24530.72,mature
France,FRA,Europe,2020,1,2857999623.04,1412972166.03,690296938.44,547889048.62,546014072.59,15964.87,mature
France,FRA,Europe,2020,2,2383684806.84,883740492.59,648109116.76,505262664.81,311406978.84,15749.9,mature
France,FRA,Europe,2020,3,3111103098.55,1179489369.61,644502360.53,759923301.39,368049731.27,14568.02,mature
France,FRA,Europe,2020,4,3214162512.92,1380186071.04,875617273.54,718955268.18,441971459.3,14056.45,mature
France,FRA,Europe,2020,5,5878143801.49,2402984083.01,1433436830.41,1358078385.4,730983184.89,17395.54,mature
France,FRA,Europe,2020,6,9912427860.61,4041949858.74,2874661727.95,1686711146.08,1919108557.45,23882.95,mature
France,FRA,Europe,2020,7,9440798411.29,3999742518.09,2286625119.0,2318957474.93,1363175413.3,23036.23,mature
France,FRA,Europe,2020,8,9393766207.84,4286371967.13,2146327560.55,1682888813.1,1667673142.68,22105.84,mature
France,FRA,Europe,2020,9,4160723622.78,1933042670.89,1092262767.1,848406399.57,511398444.14,13735.84,mature
France,FRA,Europe,2020,10,4465897964.37,2058737062.08,1108856503.34,843683587.92,556523161.35,16968.21,mature
France,FRA,Europe,2020,11,2994840058.3,1281463264.44,660850700.06,687156491.75,563690387.04,16810.31,mature
France,FRA,Europe,2020,12,3106787165.55,1411985454.59,886304843.26,774058476.49,384496445.3,19947.14,mature
France,FRA,Europe,2021,1,5568125406.21,2746412255.41,1165974118.66,1126825906.05,838974277.57,14927.11,mature
France,FRA,Europe,2021,2,4988100327.89,1826435448.48,1459477297.75,882924315.62,822884675.22,16084.58,mature
France,FRA,Europe,2021,3,7829066668.84,2766280848.31,1713668229.51,1923258864.7,1222345494.23,15540.99,mature
France,FRA,Europe,2021,4,7212916851.46,3293267025.33,1501171483.75,1596769759.24,840405893.26,16072.99,mature
France,FRA,Europe,2021,5,10989388300.61,3607439620.29,3112737312.69,2396803457.91,1523008652.62,16742.72,mature
France,FRA,Europe,2021,6,16958997669.85,5592897881.71,4924983409.35,2744863416.68,2496495700.19,21419.31,mature
France,FRA,Europe,2021,7,18438454881.76,9205684425.34,4767896887.52,3041578943.94,3074730353.26,20818.25,mature
France,FRA,Europe,2021,8,20915139741.29,8805454875.11,5139642716.0,3750649518.75,2284191383.59,24528.77,mature
France,FRA,Europe,2021,9,9278677560.01,3810977008.83,2555148956.71,2206405399.04,1664327760.67,14225.6,mature
France,FRA,Europe,2021,10,7150594541.52,3251317968.83,1846000737.6,1408028975.24,1124619852.06,13720.54,mature
France,FRA,Europe,2021,11,5699705196.38,1787120042.48,1439659626.12,953913633.3,880912779.61,13143.68,mature
France,FRA,Europe,2021,12,7966170190.8,3835570775.21,2349768019.09,1975438228.11,1512726325.7,21396.61,mature
France,FRA,Europe,2022,1,9584193650.55,4228828254.94,2837441052.12,2052735374.82,1733985931.41,17948.67,mature
France,FRA,Europe,2022,2,6442853363.62,2812433818.88,1888466881.57,1314373167.49,764650538.33,13752.21,mature
